#Year  glob_temp_dev  RF_nonCO2  RF_budget  co2_atm  fossil_CO2_em  budget_C_uptake
1696   0              0          0          276.702      0              0
1706  -0.00386085     0          -9999.9999 276.702     -0.061902      -9999.9999
1716  -0.00272839     0          -9999.9999 276.702     -0.0713625     -9999.9999
1726  -0.0006283      0          -9999.9999 276.702     -0.0529223     -9999.9999
1736  0.00364536      0          -9999.9999 276.702     -0.0485148     -9999.9999
1746  0.0113462       0          -9999.9999 276.702     -0.0420552     -9999.9999
1756  0.0229266       0          -9999.9999 276.702     -0.0369947     -9999.9999
1766  0.0365982       0.058      -9999.9999 276.779     0.177069       -9999.9999
1776  0.0472252       0.061      -9999.9999 278.231     0.528948       -9999.9999
1786  0.0478941       0.061      -9999.9999 280.226     0.790994       -9999.9999
1796  0.0345269       0.062      -9999.9999 282.26      0.781806       -9999.9999
1806  0.0107902       0.067      -9999.9999 283.445     0.621913       -9999.9999
1816  -0.0105526      0.0735     -9999.9999 284.022     0.472591       -9999.9999
1826  -0.0160875      0.08       -9999.9999 284.31      0.376761       -9999.9999
1836  -0.00322045     0.087      -9999.9999 283.75      0.00281504     -9999.9999
1846  0.0207113       0.095      -9999.9999 283.988     0.550182       -9999.9999
1856  0.0457165       0.1045     -9999.9999 285.5       0.728686       -9999.9999
1866  0.0644097       0.116      -9999.9999 286.95      0.742051       -9999.9999
1876  0.075003        0.128      -9999.9999 288.863     1.36769        -9999.9999
1886  0.082486        0.1405     -9999.9999 293.137     1.5884         -9999.9999
1896  0.0963351       0.155      -9999.9999 294.85      1.26801        -9999.9999
1906  0.12338         0.1765     -9999.9999 297.85      1.87272        -9999.9999
1916  0.163782        0.2075     -9999.9999 301.562     1.91395        -9999.9999
1926  0.212695        0.245      -9999.9999 305.188     2.23327        -9999.9999
1936  0.263796        0.2795     -9999.9999 309.575     2.00434        -9999.9999
1946  0.313003        0.313      -9999.9999 310.113     1.32169        -9999.9999
1956  0.36126         0.3665     -9999.9999 313.3       2.60466        -9999.9999
1966  0.415174        0.456      -9999.9999 320.147     3.7691         -9999.9999
1976  0.48326         0.6185     -9999.9999 331.166     5.4509         -9999.9999
1986  0.569398        0.818      -9999.9999 346.04      6.43663        -9999.9999
1996  0.670222        0.9675     0          360.649     6.74781        -9999.9999
2006  -9999.9999      1.0205     0          379.82      8.10048        0
2016  -9999.9999      1.04       0          -9999.9999  3.44569        -10
2026  -9999.9999      1.04       0          -9999.9999  2.58807        0
2036  -9999.9999      1.04       0          -9999.9999  2.34131        0
2046  -9999.9999      1.04       0          -9999.9999  2.06586        0
2056  -9999.9999      1.04       0          -9999.9999  1.86706        0
2066  -9999.9999      1.04       0          -9999.9999  1.70124        0
2076  -9999.9999      1.04       0          -9999.9999  1.56569        0
2086  -9999.9999      1.04       0          -9999.9999  1.4522         0
2096  -9999.9999      1.04       0          -9999.9999  1.35619        0
2106  -9999.9999      1.04       0          -9999.9999  1.27388        0
2116  -9999.9999      1.04       0          -9999.9999  1.20255        0
2126  -9999.9999      1.04       0          -9999.9999  1.14006        0
2136  -9999.9999      1.04       0          -9999.9999  1.08481        0
