#Year   glob_temp_dev  RF_nonCO2  RF_budget  co2_atm     fossil_CO2_em   budget_C_uptake
1696    0              0          0           276.702     0               0
1700    0              0          -9999.9999  276.702     0               -9999.9999
1701    0.0            0          -9999.9999  276.702     -0.1448008494   -9999.9999
1702    0.0            0          -9999.9999  276.702     -0.1133788437   -9999.9999
1703    0.0            0          -9999.9999  276.702     -0.0965974935   -9999.9999
1704    0.0            0          -9999.9999  276.702     -0.08713077523  -9999.9999
1705    0.0            0          -9999.9999  276.702     -0.08137959577  -9999.9999
1706    0.0            0          -9999.9999  276.702     -0.07755064543  -9999.9999
1707    0.0            0          -9999.9999  276.702     -0.0747429927   -9999.9999
1708    0.0            0          -9999.9999  276.702     -0.07250145166  -9999.9999
1709    0.0            0          -9999.9999  276.702     -0.07059383604  -9999.9999
1710    0.0            0          -9999.9999  276.702     -0.06889960022  -9999.9999
1711    0.0            0          -9999.9999  276.702     -0.06735421607  -9999.9999
1712    0.0            0          -9999.9999  276.702     -0.0659214276   -9999.9999
1713    0.0            0          -9999.9999  276.702     -0.06457942526  -9999.9999
1714    0.0            0          -9999.9999  276.702     -0.0633139546   -9999.9999
1715    0.0            0          -9999.9999  276.702     -0.06211487173  -9999.9999
1716    0.0            0          -9999.9999  276.702     -0.0609744075   -9999.9999
1717    0.0            0          -9999.9999  276.702     -0.05988627782  -9999.9999
1718    0.0            0          -9999.9999  276.702     -0.05884521284  -9999.9999
1719    0.0            0          -9999.9999  276.702     -0.05784669423  -9999.9999
1720    0.0            0          -9999.9999  276.702     -0.05688679736  -9999.9999
1721    0.0            0          -9999.9999  276.702     -0.05596208727  -9999.9999
1722    0.0            0          -9999.9999  276.702     -0.0550695439   -9999.9999
1723    0.0            0          -9999.9999  276.702     -0.05420650404  -9999.9999
1724    0.0            0          -9999.9999  276.702     -0.05337061401  -9999.9999
1725    0.0            0          -9999.9999  276.702     -0.05255978988  -9999.9999
1726    0.0            0          -9999.9999  276.702     -0.05177218335  -9999.9999
1727    0.0            0          -9999.9999  276.702     -0.0510061522   -9999.9999
1728    0.0            0          -9999.9999  276.702     -0.05026023475  -9999.9999
1729    0.00036427     0          -9999.9999  276.702     -0.04953312751  -9999.9999
1730    0.00074485     0          -9999.9999  276.702     -0.04882366578  -9999.9999
1731    0.00115258     0          -9999.9999  276.702     -0.04813080666  -9999.9999
1732    0.00158882     0          -9999.9999  276.702     -0.04745361436  -9999.9999
